date,province,daily_case,daily_death,daily_recovered,active_case,cumulative_case,cumulative_recovered,cumulative_death,cumulative_active_case,cfr,recovery_rate
2021-08-18,ACEH,383,10,176,197,28547,21521,1212,5814,4.245630013661681,75.38795670298106
2021-08-18,BALI,734,66,1154,-486,98637,84782,2871,10984,2.9106724657075946,85.95354684347657
2021-08-20,BANTEN,1,1,0,0,125476,116160,2536,6780,2.021103637348975,92.57547260033792
2021-08-18,BENGKULU,28,0,100,-72,21574,17787,350,3437,1.6223231667748215,82.44646333549643
2021-08-18,DAERAH ISTIMEWA YOGYAKARTA,634,33,2311,-1710,140898,113767,4400,22731,3.122826441823163,80.74422631974903
2021-08-18,DKI JAKARTA,1029,0,897,132,842610,820650,13082,8878,1.5525569361863734,97.39381208388222
2021-08-18,GORONTALO,81,4,40,37,10462,8491,352,1619,3.36455744599503,81.16038998279488
2021-08-18,JAMBI,121,8,676,-563,25727,20903,591,4233,2.297197496793252,81.24927119368756
2021-08-18,JAWA BARAT,1374,48,4677,-3351,660151,592255,11560,56336,1.7511145177391232,89.71508033768032
2021-08-18,JAWA TENGAH,3071,278,4017,-1224,457259,400522,26324,30413,5.756912384447326,87.59193367435087
2021-08-18,JAWA TIMUR,1499,224,3217,-1942,363439,309759,25849,27831,7.112335219940623,85.22998357358456
2021-08-18,KALIMANTAN BARAT,180,5,526,-351,32512,28515,707,3290,2.1745816929133857,87.70607775590551
2021-08-18,KALIMANTAN SELATAN,445,39,785,-379,60376,47327,1878,11171,3.1105074864184443,78.38710745991784
2021-08-18,KALIMANTAN TENGAH,225,8,161,56,40875,34295,1211,5369,2.962691131498471,83.90214067278288
2021-08-18,KALIMANTAN TIMUR,638,72,1656,-1090,142434,124943,4642,12849,3.25905331592176,87.71992642206214
2021-08-18,KALIMANTAN UTARA,170,9,360,-199,28876,21432,595,6849,2.0605347000969667,74.22080620584568
2021-08-18,KEPULAUAN BANGKA BELITUNG,276,18,419,-161,42795,36353,1043,5399,2.4372006075476107,84.94683958406355
2021-08-18,KEPULAUAN RIAU,178,24,297,-143,50712,46838,1506,2368,2.9697113109323237,92.36078245780092
2021-08-18,LAMPUNG,229,37,314,-122,43397,34475,3065,5857,7.062700186648847,79.44097518261631
2021-08-20,MALUKU,2,0,0,2,14166,11675,242,2249,1.708315685444021,82.41564308908654
2021-08-19,MALUKU UTARA,1,2,0,-1,11284,9722,274,1288,2.4282169443459765,86.15739099610067
2021-08-18,NUSA TENGGARA BARAT,137,7,266,-136,23854,21668,650,1536,2.7249098683658923,90.83591850423409
2021-08-18,NUSA TENGGARA TIMUR,527,8,949,-430,54806,46222,1064,7520,1.9413932781082364,84.33748129766813
2021-08-18,PAPUA,154,1,105,48,30693,18483,348,11862,1.133809011826801,60.218942429870005
2021-08-18,PAPUA BARAT,85,3,192,-110,21671,19577,325,1769,1.4997000599880024,90.33731715195422
2021-08-18,RIAU,589,30,1098,-539,116792,103378,3336,10078,2.856360024659223,88.51462428933489
2021-08-18,SULAWESI BARAT,54,8,140,-94,10746,8737,239,1770,2.2240833798622743,81.30467150567652
2021-08-20,SULAWESI SELATAN,1,0,0,1,98897,86120,1789,10988,1.8089527488194788,87.08049789174595
2021-08-18,SULAWESI TENGAH,450,27,625,-202,36917,25981,1130,9806,3.0609204431562698,70.37679118021508
2021-08-18,SULAWESI TENGGARA,62,4,102,-44,18846,15810,451,2585,2.3930807598429373,83.89048073861828
2021-08-18,SULAWESI UTARA,250,7,383,-140,30226,23738,872,5616,2.884933500959439,78.53503606166876
2021-08-18,SUMATERA BARAT,432,12,657,-237,82738,71065,1841,9832,2.225096086441538,85.8916096594068
2021-08-18,SUMATERA SELATAN,117,25,439,-347,55545,45769,2657,7119,4.78350886668467,82.39985597263481
2021-08-20,SUMATERA UTARA,2,0,0,2,84273,54797,2010,27466,2.385105549820227,65.0231984146761
